FID_NA_CEC_Eco_Level3;NA_L3CODE;NA_L3NAME;NA_L2CODE;NA_L2NAME;NA_L1CODE;NA_L1NAME;NA_L3KEY;NA_L2KEY;NA_L1KEY;Shape_Leng;FID_giantTable_private_XYTableToPoint;id;model_type;citation;url;attribution;attribution_url;figure_num;figure_caption;figure_url;textmodel_snipped;textmodel_section_number;textmodel_section_name;textmodel_page_number;watershed_name;lat;lon;area_km2;num_spatial_zones;spatial_property;num_temporal_zones;temporal_property;vegetation_info;soil_info;geol_info;topo_info;three_d_info;uncertainty_info;other_info;num_store;store_list;store_id_list;num_flux;flux_list;flux_id_list;dummy_column;huc_watershed_id
1747;8.3.4;Piedmont;8.3;SOUTHEASTERN USA PLAINS;8;EASTERN TEMPERATE FORESTS;8.3.4  Piedmont;8.3  SOUTHEASTERN USA PLAINS;8  EASTERN TEMPERATE FORESTS;4571125,079699999652803;3;3;Figure model;Aulenbach, B.T., Hooper, R.P., van Meerveld, H.J., Burns, D.A., Freer, J.E., Shanley, J.B., Huntington, T.G., McDonnell, J.J., Peters, N.E., 2021. The evolving perceptual model of streamflow generation at the Panola Mountain Research Watershed. Hydrol. Process. 35, e14127.;https://doi.org/10.1002/hyp.14127;Not open-access;https://doi.org/10.1002/hyp.14127;4c & 4d;N/A;https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data;N/A;N/A;N/A;N/A;Panola Mountain Research Watershed, United States;33,631898000000000;-84,172332999999995;0,410000000000000;1;N;2;Rainfall intensity;N;N;Geological types described;Topography described;N;N;Riparian area only;3,000000000000000;Riparian unsaturated storage, Channel storage, Riparian aquifer storage;Chan.Store.Rip.Unsat, Chan.Store, Chan.Store.Rip;0,000000000000000;N/A;N/A;1,000000000000000;N/A
1767;8.4.1;Ridge and Valley;8.4;OZARK/OUACHITA-APPALACHIAN FORESTS;8;EASTERN TEMPERATE FORESTS;8.4.1  Ridge and Valley;8.4  OZARK/OUACHITA-APPALACHIAN FORESTS;8  EASTERN TEMPERATE FORESTS;5731681,819899999536574;5;5;Figure model;Brantley SL, White T, West N, Williams JZ, Forsythe B, Shapich D, Kaye J, Lin H, Shi Y, Kaye M, et al. 2018. Susquehanna Shale Hills critical zone observatory: Shale Hills in the context of Shavers Creek Watershed. Vadose zone journal: VZJ 17 (1): 119 DOI: 10.2136/vzj2018.04.0092;https://doi.org/10.2136/vzj2018.04.0092;CC BY-NC-ND 4.0;https://creativecommons.org/licenses/by-nc-nd/4.0/;4;Schematic cross-section showing the upper fractured layer, where feldspar and clay dissolution largely occurs, and the deeper reaction fronts for carbonate and pyrite. The carbonate front is relatively close to today's deep regional water table and is close in depth to the pyrite reaction front under the ridge, where it is hard to ascertain exact depths. The pyrite reaction front is deeper than today's water table under the valley, as shown. Above each reaction front, the mineral of interest becomes depleted. The upper layer of soil and highly fractured rock shown in gray allows lateral subsurface flow (also referred to here as interflow) of water. Most of the water that infiltrates at the land surface flows along this pathway or is lost to evapotranspiration, leaving relatively little water recharging the deep groundwater. Figure reproduced with permission from Brantley et al., (2013).;https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/b6f9c1c4fa1d4790b8f5adf59692a0ae/data;N/A;N/A;N/A;N/A;Susquehanna Shale Hills CZO - Shale Hills, United States;40,664848999999997;-77,907246000000001;0,080000000000000;1;N;2;Season with snow;N;N;N;Scale bar shown;N;N;Reaction fronts shown;3,000000000000000;Soil water storage, Water Table, Soil water storage;Sub.Soil.Store, Sub.GW.Store.Wtable, Sub.Soil.Store;2,000000000000000;Subsurface stormflow, Vertical matrix flow;Sub.SSFlow, Sub.Soil.Matrix;1,000000000000000;N/A
2509;8.2.3;Central Corn Belt Plains;8.2;CENTRAL USA PLAINS;8;EASTERN TEMPERATE FORESTS;8.2.3  Central Corn Belt Plains;8.2  CENTRAL USA PLAINS;8  EASTERN TEMPERATE FORESTS;2348161,448559999931604;6;6;Figure model;Cain, Molly R, Dong Kook Woo, Praveen Kumar, Laura Keefer, and Adam S Ward. Antecedent Conditions Control Thresholds of Tile-Runoff Generation and Nitrogen Export in Intensively Managed Landscapes. Water Resources Research 58, no. 2 (2022): e2021WR030507.;https://doi.org/10.1029/2021WR030507;Not open-access;https://doi.org/10.1029/2021WR030507;9;N/A;https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data;N/A;N/A;N/A;N/A;IML CZO, Upper Sangamon River Basin, Allerton Trust Farm, United States;40,024999999999999;-88,660600000000002;0,100000000000000;1;N;3;Wetness;Cropland described;N;N;N;N;N;N;3,000000000000000;Groundwater storage, Water table rise, Soil water storage;Sub.GW.Store, Sub.GW.Store.Rise, Sub.Soil.Store;4,000000000000000;Vertical macropore flow, Tile drain flow, Infiltration, Mixing;Sub.Soil.Macro, Human.Sub.SSFlow.Tile, Surf.Inf.Inf, Sub.Soil.Mix;1,000000000000000;N/A
1072;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;249395,830848999990849;10;10;Figure model;"Evans, C., Davies, T.D. and Murdoch, P.S. (1999), Component flow processes at four streams in the Catskill Mountains, New York, analysed using episodic concentration/discharge relationships. Hydrol. Process., 13: 563-575. https://doi-org.libproxy.sdsu.edu/10.1002/(SICI)1099-1085(199903)13:4<563::AID-HYP711>3.0.CO;2-N";"https://doi.org/10.1002/(SICI)1099-1085(199903)13:4%3C563::AID-HYP711%3E3.0.CO;2-N";Not open-access;"https://doi.org/10.1002/(SICI)1099-1085(199903)13:4%3C563::AID-HYP711%3E3.0.CO;2-N";10;N/A;https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data;N/A;N/A;N/A;N/A;Catskill Mountains, New York, United States;41,962232999999998;-74,457294000000005;-9999,000000000000000;1;N;3;Event;Forest described;N;N;N;N;N;N;4,000000000000000;Organic Layer, Groundwater storage, Soil water storage, Channel storage;Sub.Soil.Store.Organ, Sub.GW.Store, Sub.Soil.Store, Chan.Store;0,000000000000000;N/A;N/A;1,000000000000000;N/A
1087;5.4.1;Mid-Boreal Uplands and Peace-Wabaska Lowlands;5.4;BOREAL PLAIN;5;NORTHERN FORESTS;5.4.1  Mid-Boreal Uplands and Peace-Wabaska Lowlands;5.4  BOREAL PLAIN;5  NORTHERN FORESTS;8082467,972939999774098;16;16;Figure model;Gibson JJ, Yi Y, Birks SJ. 2016. Isotope-based partitioning of streamflow in the oil sands region, northern Alberta: Towards a monitoring strategy for assessing flow sources and water quality controls. Journal of Hydrology: Regional Studies 5: 131148 DOI: 10.1016/j.ejrh.2015.12.062;https://doi.org/10.1016/j.ejrh.2015.12.062;CC BY-NC-ND 4.0;https://creativecommons.org/licenses/by-nc-nd/4.0/;12;Conceptual model of runoff generation in wetland-dominated tributaries in the oil sands region. Important flow mechanisms are identified. Note that on-channel precipitation and near-channel overland flow produce event-dominated runoff, shallow runoff components (25) typically produce mixtures of surface water and groundwater whereas deep runoff components (68) are exclusively groundwater-fed;https://ars.els-cdn.com/content/image/1-s2.0-S2214581815002141-gr12.jpg;N/A;N/A;N/A;N/A;Athabasca Oil Sands region, Alberta, Canada;57,136749000000002;-111,610484999999997;132000,000000000000000;1;N;1;N;N;N;Glacier described;N;N;N;Describes water sources as event water, shallow gw, deep gw;4,000000000000000;Channel storage, Regional Groundwater storage, Groundwater storage, Groundwater storage;Chan.Store, Sub.GW.Store.Region, Sub.GW.Store, Sub.GW.Store;9,000000000000000;Groundwater flow, Return Flow, Channel interception, Regional groundwater flow, Lateral macropore flow, Groundwater flow, SE flow from riparian zone, Subsurface stormflow, Groundwater flooding;Sub.GW.Flow, Sub.GW.Ret, Chan.Int, Sub.GW.Flow.Region, Sub.SSFlow.Macro, Sub.GW.Flow, Surf.Over.SE.Rip, Sub.SSFlow, Sub.GW.Ret.Flood;1,000000000000000;N/A
1549;8.1.3;Northern Allegheny Plateau;8.1;MIXED WOOD PLAINS;8;EASTERN TEMPERATE FORESTS;8.1.3  Northern Allegheny Plateau;8.1  MIXED WOOD PLAINS;8  EASTERN TEMPERATE FORESTS;2253140,770239999983460;22;22;Figure model;Inamdar SP, Mitchell MJ. 2007. Contributions of riparian and hillslope waters to storm runoff across multiple catchments and storm events in a glaciated forested watershed. Journal of Hydrology 341 (1): 116130 DOI: 10.1016/j.jhydrol.2007.05.007;https://doi.org/10.1016/j.jhydrol.2007.05.007;Not open-access;https://doi.org/10.1016/j.jhydrol.2007.05.007;6;N/A;https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data;N/A;N/A;N/A;N/A;Point Peter Brook watershed, New York, United States;42,439920000000001;-78,922889999999995;6,960000000000000;1;N;3;Event;N;N;N;N;N;N;N;0,000000000000000;N/A;N/A;3,000000000000000;Riparian Groundwater Flow, Exfiltration, Throughfall;Sub.GW.Flow.Rip, Sub.GW.Ret.Exf, Surf.Int.Thru;1,000000000000000;N/A
1758;8.3.5;Southeastern Plains;8.3;SOUTHEASTERN USA PLAINS;8;EASTERN TEMPERATE FORESTS;8.3.5  Southeastern Plains;8.3  SOUTHEASTERN USA PLAINS;8  EASTERN TEMPERATE FORESTS;9536839,269999999552965;23;23;Figure model;Klaus J, McDonnell JJ, Jackson CR, Du E, Griffiths NA. 2015. Where does streamwater come from in low-relief forested watersheds? A dual-isotope approach. Hydrology and Earth System Sciences 19 (1): 125135 DOI: 10.5194/hess-19-125-2015;https://doi.org/10.5194/hess-19-125-2015;CC BY 3.0;https://creativecommons.org/licenses/by/3.0/;8;Conceptual model of baseow runoff generation and enrichment in heavy isotopes from rainfall to streamow. Key element is the disconnectivity between the hillslopes and the riparian-stream systems, which is likely sustained by precipitation and deeper groundwater;https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/888b8c6f5857489d93b1617a701142b2/data;N/A;N/A;N/A;N/A;3 watersheds (R, C, B) in Upper Fourmile Branch, South Carolina, United States;33,270198999999998;-81,634021000000004;0,450000000000000;1;N;1;N;N;N;N;N;N;Unknown items identified;Focused on isotope enrichment processes;4,000000000000000;Riparian aquifer storage, Channel storage, Soil water storage, Groundwater storage;Chan.Store.Rip, Chan.Store, Sub.Soil.Store, Sub.GW.Store;6,000000000000000;Riparian transpiration, Subsurface stormflow, Gaining stream, Connectivity between hillslopes and channel, Channel flow, Soil surface evaporation;Surf.ET.Transp.Rip, Sub.SSFlow, Sub.GWSW.Gain, Sub.GWSW.Conn.Hill, Chan.Flow, Surf.ET.Evap.Soil;1,000000000000000;N/A
1767;8.4.1;Ridge and Valley;8.4;OZARK/OUACHITA-APPALACHIAN FORESTS;8;EASTERN TEMPERATE FORESTS;8.4.1  Ridge and Valley;8.4  OZARK/OUACHITA-APPALACHIAN FORESTS;8  EASTERN TEMPERATE FORESTS;5731681,819899999536574;25;25;Figure model;Li L, DiBiase RA, Del Vecchio J, Marcon V, Hoagland B, Xiao D, Wayman C, Tang Q, He Y, Silverhart P, et al. 2018. The effect of lithology and agriculture at the Susquehanna Shale Hills Critical Zone Observatory. Vadose zone journal: VZJ 17 (1): 115 DOI: 10.2136/vzj2018.03.0063;https://doi.org/10.2136/vzj2018.03.0063;CC BY-NC-ND 4.0;https://creativecommons.org/licenses/by-nc-nd/4.0/;11 - top;Cross-section diagrams of Garner Run (top) and Cole Farm (bottom). Solid blue lines represent the regional groundwater table based on water level measurements. Dashed blue lines represent interflow pathways inferred from spring outcroppings and the depth at which the soil meets the fractured bedrock interface. Stratigraphy from Cole Farm well log data is featured to vertical scale. The stratigraphy for Garner Run in the vertical extent depicted is comprised primarily of the Tuscarora sandstone formation with <2 m of soil at the surface. The inferred extent of the valley fill at Garner Run is highlighted in gray;https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/9e7d1c7fcb8c4bb2b2f458f4e12a174f/data;N/A;N/A;N/A;N/A;Susquehanna Shale Hills CZO - Garner Run, United States;40,692453999999998;-77,927730999999994;1,340000000000000;2;Aspects;1;N;Forest described;N;Geological types described;Scale bar shown;N;N;Pictures of suface rocks shown, unsure of significance;4,000000000000000;Soil water storage, Perched water tables, Regional Groundwater storage, Channel storage;Sub.Soil.Store, Sub.GW.Store.Perch, Sub.GW.Store.Region, Chan.Store;4,000000000000000;Subsurface stormflow, Springflow, Vertical drainage to groundwater, Regional groundwater flow;Sub.SSFlow, Sub.GW.Ret.Spr, Sub.Soil.Drain, Sub.GW.Flow.Region;1,000000000000000;N/A
1767;8.4.1;Ridge and Valley;8.4;OZARK/OUACHITA-APPALACHIAN FORESTS;8;EASTERN TEMPERATE FORESTS;8.4.1  Ridge and Valley;8.4  OZARK/OUACHITA-APPALACHIAN FORESTS;8  EASTERN TEMPERATE FORESTS;5731681,819899999536574;26;26;Figure model;Li L, DiBiase RA, Del Vecchio J, Marcon V, Hoagland B, Xiao D, Wayman C, Tang Q, He Y, Silverhart P, et al. 2018. The effect of lithology and agriculture at the Susquehanna Shale Hills Critical Zone Observatory. Vadose zone journal: VZJ 17 (1): 115 DOI: 10.2136/vzj2018.03.0064;https://doi.org/10.2136/vzj2018.03.0063;CC BY-NC-ND 4.0;https://creativecommons.org/licenses/by-nc-nd/4.0/;11 - bottom;Cross-section diagrams of Garner Run (top) and Cole Farm (bottom). Solid blue lines represent the regional groundwater table based on water level measurements. Dashed blue lines represent interflow pathways inferred from spring outcroppings and the depth at which the soil meets the fractured bedrock interface. Stratigraphy from Cole Farm well log data is featured to vertical scale. The stratigraphy for Garner Run in the vertical extent depicted is comprised primarily of the Tuscarora sandstone formation with <2 m of soil at the surface. The inferred extent of the valley fill at Garner Run is highlighted in gray;https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/9e7d1c7fcb8c4bb2b2f458f4e12a174f/data;N/A;N/A;N/A;N/A;Susquehanna Shale Hills CZO - Cole Farm, United States;40,629940048665901;-77,945466036732896;0,650000000000000;1;N;1;N;Forest described;N;Geological types described;Scale bar shown;N;N;N;4,000000000000000;Perched water tables, Regional Groundwater storage, Channel storage, Lake storage;Sub.GW.Store.Perch, Sub.GW.Store.Region, Chan.Store, Surf.Water.Lake;4,000000000000000;Subsurface stormflow, Springflow, Vertical drainage to groundwater, Regional groundwater flow;Sub.SSFlow, Sub.GW.Ret.Spr, Sub.Soil.Drain, Sub.GW.Flow.Region;1,000000000000000;N/A
986;3.4.5;Coppermine River and Tazin Lake Uplands;3.4;TAIGA SHIELD;3;TAIGA;3.4.5  Coppermine River and Tazin Lake Uplands;3.4  TAIGA SHIELD;3  TAIGA;4007287,592569999862462;42;42;Figure model;Spence, C, SV Kokelj, SA Kokelj, M McCluskie, and N Hedstrom. Evidence of a Change in Water Chemistry in Canadas Subarctic Associated with Enhanced Winter Streamflow. Journal of Geophysical Research: Biogeosciences 120, no. 1 (2015): 11327.;https://doi.org/10.1002/2014JG002809;CC BY-NC-ND 4.0;https://creativecommons.org/licenses/by-nc-nd/4.0/;10;Conceptual model of seasonal water, carbon, nitrogen, and TDS flux from northern Precambrian Shield catchments. The grey represents Precambrian bedrock, exposed on upper hillslopes and underlying other landscape units. The orange and green denote conditions of dormant and active vegetation, respectively, in soil-filled areas. The blue represents ponds and lakes along a discontinuous stream network. The hatched area in the soil-filled area refers to the zone of high hydraulic conductivity close to the topographic surface. The frost and water tables are denoted by the white dotted and black dashed lines, respectively. Ice and snow are represented by white patches, rain by droplets. The fluxes of water, DOC, TDS, and inorganic nitrogen are shown with blue, black, red, and green arrows, respectively. The thickness of the arrows denotes the relative flux. The different seasons are represented in (a) spring freshet, (b) late summer, (c) a wet autumn, and (d) winter with enhanced streamflow;https://agupubs.onlinelibrary.wiley.com/cms/asset/897a2a69-c42f-4c75-be5d-832b637f6314/jgrg20322-fig-0010-m.png;N/A;N/A;N/A;N/A;Baker Creek watershed, Yellowknife Northwest Territories, Canada;62,513333000000003;-114,409722000000002;165,000000000000000;1;N;4;Season with snow;Seasonal change discussed;N;N;N;N;N;Also shows fluxes of DOC, TDS, and inorganic nitrogen;8,000000000000000;Soil water storage, Snow storage, Soil water storage, Water Table, Lake storage, Soil water storage, Seasonal soil freeze/thaw, Groundwater storage;Sub.Soil.Store, Surf.Snow.Stor, Sub.Soil.Store, Sub.GW.Store.Wtable, Surf.Water.Lake, Sub.Soil.Store, Surf.Frozen.FrzThw, Sub.GW.Store;6,000000000000000;Evapotranspiration, Exfiltration, Channel flow, Subsurface stormflow, Infiltration, IE flow from impermeable areas;Surf.ET, Sub.GW.Ret.Exf, Chan.Flow, Sub.SSFlow, Surf.Inf.Inf, Surf.Over.IE.Imp;1,000000000000000;N/A
