FID_NA_CEC_Eco_Level3;NA_L3CODE;NA_L3NAME;NA_L2CODE;NA_L2NAME;NA_L1CODE;NA_L1NAME;NA_L3KEY;NA_L2KEY;NA_L1KEY;Shape_Leng;FID_Localisation_BV_Korben_XYTableToPoint;gauge_id;gauge_lat;gauge_lon;elev_mean;slope_mean;area_gages2;area_geospa_fabric_
1719;8.1.8;Acadian Plains and Hills;8.1;MIXED WOOD PLAINS;8;EASTERN TEMPERATE FORESTS;8.1.8  Acadian Plains and Hills;8.1  MIXED WOOD PLAINS;8  EASTERN TEMPERATE FORESTS;4406138,648649999871850;1;1013500;47,237389999999998;-68,582639999999998;250,310000000000002;21,641520000000000;2252,699999999999818;2303,949999999999818
1719;8.1.8;Acadian Plains and Hills;8.1;MIXED WOOD PLAINS;8;EASTERN TEMPERATE FORESTS;8.1.8  Acadian Plains and Hills;8.1  MIXED WOOD PLAINS;8  EASTERN TEMPERATE FORESTS;4406138,648649999871850;2;1022500;44,607970000000002;-67,935239999999993;92,680000000000007;17,790720000000000;573,600000000000023;620,379999999999995
1719;8.1.8;Acadian Plains and Hills;8.1;MIXED WOOD PLAINS;8;EASTERN TEMPERATE FORESTS;8.1.8  Acadian Plains and Hills;8.1  MIXED WOOD PLAINS;8  EASTERN TEMPERATE FORESTS;4406138,648649999871850;3;1030500;45,500970000000002;-68,305959999999999;143,800000000000011;12,791950000000000;3676,170000000000073;3676,090000000000146
1719;8.1.8;Acadian Plains and Hills;8.1;MIXED WOOD PLAINS;8;EASTERN TEMPERATE FORESTS;8.1.8  Acadian Plains and Hills;8.1  MIXED WOOD PLAINS;8  EASTERN TEMPERATE FORESTS;4406138,648649999871850;4;1031500;45,175010000000000;-69,314700000000002;247,800000000000011;29,560350000000000;769,049999999999955;766,529999999999973
1719;8.1.8;Acadian Plains and Hills;8.1;MIXED WOOD PLAINS;8;EASTERN TEMPERATE FORESTS;8.1.8  Acadian Plains and Hills;8.1  MIXED WOOD PLAINS;8  EASTERN TEMPERATE FORESTS;4406138,648649999871850;5;1047000;44,869199999999999;-69,955100000000002;310,379999999999995;49,921219999999998;909,100000000000023;904,940000000000055
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;6;1052500;44,877389999999998;-71,057490000000001;615,700000000000045;60,051830000000002;383,819999999999993;396,100000000000023
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;7;1054200;44,390439999999998;-70,979640000000003;472,310000000000002;90,139510000000001;180,979999999999990;181,330000000000013
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;8;1055000;44,642749999999999;-70,588780000000000;423,120000000000005;72,813040000000001;250,639999999999986;251,159999999999997
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;9;1057000;44,303989999999999;-70,539680000000004;215,590000000000003;32,684449999999998;190,919999999999987;197,699999999999989
1621;8.1.7;Northeastern Coastal Zone;8.1;MIXED WOOD PLAINS;8;EASTERN TEMPERATE FORESTS;8.1.7  Northeastern Coastal Zone;8.1  MIXED WOOD PLAINS;8  EASTERN TEMPERATE FORESTS;3638816,896279999986291;10;1073000;43,148699999999998;-70,965059999999994;37,670000000000002;4,750430000000000;31,300000000000001;32,109999999999999
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;11;1078000;43,566459999999999;-71,747860000000003;346,920000000000016;49,771819999999998;222,460000000000008;221,860000000000014
1621;8.1.7;Northeastern Coastal Zone;8.1;MIXED WOOD PLAINS;8;EASTERN TEMPERATE FORESTS;8.1.7  Northeastern Coastal Zone;8.1  MIXED WOOD PLAINS;8  EASTERN TEMPERATE FORESTS;3638816,896279999986291;12;1123000;41,671770000000002;-72,052300000000002;120,099999999999994;17,148930000000000;77,849999999999994;84,209999999999994
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;13;1134500;44,511719999999997;-71,837310000000002;450,540000000000020;47,543540000000000;195,129999999999995;209,500000000000000
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;14;1137500;44,268670000000000;-71,630359999999996;784,850000000000023;110,130619999999993;228,550000000000011;238,319999999999993
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;15;1139000;44,150340000000000;-72,065089999999998;373,339999999999975;43,107959999999999;246,330000000000013;259,500000000000000
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;16;1139800;44,092840000000002;-72,335650000000001;518,149999999999977;40,998950000000001;22,800000000000001;24,920000000000002
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;17;1142500;43,934510000000003;-72,657880000000006;346,620000000000005;46,925750000000001;82,170000000000002;79,909999999999997
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;18;1144000;43,714239999999997;-72,418149999999997;459,800000000000011;60,292610000000003;1790,240000000000009;1780,650000000000091
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;19;1169000;42,638420000000004;-72,725089999999994;374,889999999999986;49,543619999999997;230,639999999999986;233,879999999999995
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;20;1170100;42,703420000000001;-72,670649999999995;325,709999999999980;49,330910000000003;106,989999999999995;109,260000000000005
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;21;1181000;42,237310000000001;-72,895650000000003;417,930000000000007;33,284399999999998;243,500000000000000;245,719999999999999
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;22;1187300;42,037320000000001;-72,938990000000004;309,100000000000023;38,267600000000002;53,920000000000002;54,219999999999999
1621;8.1.7;Northeastern Coastal Zone;8.1;MIXED WOOD PLAINS;8;EASTERN TEMPERATE FORESTS;8.1.7  Northeastern Coastal Zone;8.1  MIXED WOOD PLAINS;8  EASTERN TEMPERATE FORESTS;3638816,896279999986291;23;1195100;41,305929999999996;-72,531199999999998;19,170000000000002;7,930700000000000;14,840000000000000;15,960000000000001
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;24;4296000;44,868940000000002;-72,270099999999999;390,990000000000009;40,514719999999997;302,189999999999998;301,120000000000005
1084;5.3.1;Northern Appalachian and Atlantic Maritime Highlands;5.3;ATLANTIC HIGHLANDS;5;NORTHERN FORESTS;5.3.1  Northern Appalachian and Atlantic Maritime Highlands;5.3  ATLANTIC HIGHLANDS;5  NORTHERN FORESTS;4392637,737839999608696;25;1333000;42,708970000000001;-73,196770000000001;485,910000000000025;74,787250000000000;112,159999999999997;111,500000000000000
1549;8.1.3;Northern Allegheny Plateau;8.1;MIXED WOOD PLAINS;8;EASTERN TEMPERATE FORESTS;8.1.3  Northern Allegheny Plateau;8.1  MIXED WOOD PLAINS;8  EASTERN TEMPERATE FORESTS;2253140,770239999983460;26;1350000;42,319530000000000;-74,436539999999994;612,779999999999973;88,251689999999996;612,509999999999991;614,250000000000000
