Abbrev;Full_name
Chan.Atten;Channel.Attenuation
Chan.Flow;Channel.Channel Flow
Chan.Flow.Ephem;Channel.Channel Flow.Ephemeral\nstreamflow
Chan.Flow.Interm;Channel.Channel Flow.Intermittent streamflow
Chan.Flow.Peren;Channel.Channel Flow.Perennial flow
Chan.Flow.Quick;Channel.Channel Flow.Quick flow
Chan.Hypor;Channel.Hyporheic flow
Chan.Int;Channel.Channel interception
Chan.Store;Channel.Channel storage
Chan.Store.Bank;Channel.Channel storage.Bank storage
Chan.Store.Rip;Channel.Channel storage.Riparian aquifer storage
Chan.Store.Rip.Unsat;Channel.Channel storage.Riparian aquifer storage.Riparian unsaturated storage
Human.Sub.SSFlow.Tile;Human.Subsurface.Subsurface stormflow.Tile drain flow
Sub.GW.BedInf;Subsurface.Groundwater.Infiltration into bedrock
Sub.GW.BedInf.Macro;Subsurface.Groundwater.Infiltration into bedrock.Infiltration into bedrock via preferential flow paths
Sub.GW.Disp;Subsurface.Groundwater.Displacement of\ngroundwater
Sub.GW.Disp.Piston;Subsurface.Groundwater.Displacement of\ngroundwater.Pistonflow
Sub.GW.Flow;Subsurface.Groundwater.Groundwater flow
Sub.GW.Flow.Region;Subsurface.Groundwater.Groundwater flow.Regional groundwater flow
Sub.GW.Flow.Rip;Subsurface.Groundwater.Groundwater flow.Riparian Groundwater Flow
Sub.GW.Flow.Unsat;Subsurface.Groundwater.Groundwater flow.Lateral unsaturated bedrock flow
Sub.GW.Loss.Bound;Subsurface.Groundwater.Groundwater loss.Water loss across surface watershed boundary
Sub.GW.Loss.Deep;Subsurface.Groundwater.Groundwater loss.Water loss to deep groundwater
Sub.GW.Ret;Subsurface.Groundwater.Return Flow
Sub.GW.Ret.Exf;Subsurface.Groundwater.Return Flow.Exfiltration
Sub.GW.Ret.Spr;Subsurface.Groundwater.Return Flow.Springflow
Sub.GW.Store;Subsurface.Groundwater.Groundwater\nStorage
Sub.GW.Store.BedHol;Subsurface.Groundwater.Groundwater\nStorage.Bedrock hollows
Sub.GW.Store.Dynam;Subsurface.Groundwater.Groundwater\nStorage.Dynamic groundwater storage
Sub.GW.Store.Fall;Subsurface.Groundwater.Groundwater\nStorage.Water table fall
Sub.GW.Store.Matrix;Subsurface.Groundwater.Groundwater\nStorage.Bedrock fracture\nstorage
Sub.GW.Store.Mult;Subsurface.Groundwater.Groundwater\nStorage.Multiple storage\nreservoirs producing\ndischarge
Sub.GW.Store.Perch;Subsurface.Groundwater.Groundwater\nStorage.Perched water tables
Sub.GW.Store.Region;Subsurface.Groundwater.Groundwater\nStorage.Regional Groundwater storage
Sub.GW.Store.Rise;Subsurface.Groundwater.Groundwater\nStorage.Water table rise
Sub.GW.Store.Stdis;Subsurface.Groundwater.Groundwater\n Storage.Storage-discharge relationship
Sub.GW.Store.Total;Subsurface.Groundwater.Groundwater\nStorage.Total groundwater storage
Sub.GW.Store.Unsat;Subsurface.Groundwater.Groundwater\nstorage.Unsaturated bedrock storage
Sub.GW.Store.Wtable;Subsurface.Groundwater.Groundwater\nStorage.Water table
Sub.GWSW.Conn;Subsurface.Stream-GW.Connectivity
Sub.GWSW.Conn.Hill;Subsurface.Stream-GW.Connectivity.Connectivity between\nhillslopes and\nchannel
Sub.GWSW.Conn.Lat;Subsurface.Stream-GW.Connectivity.Connectivity of lateral\npreferential flow pathways
Sub.GWSW.Gain;Subsurface.Stream-GW.Gaining stream
Sub.GWSW.Lose;Subsurface.Stream-GW.Losing stream
Sub.Soil.Drain;Subsurface.Soils.Vertical drainage\nto groundwater
Sub.Soil.Lat;Subsurface.Soils.Lateral unsaturated flow
Sub.Soil.Macro;Subsurface.Soils.Vertical macrospore flow
Sub.Soil.Macro.Unsat;Subsurface.Soils.Vertical macrospore flow.Unsaturated macrospore flow
Sub.Soil.Matrix;Subsurface.Soils.Vertical matrix flow
Sub.Soil.Matrix.Capil;Subsurface.Soils.Vertical matrix\nflow.Capillary Rise
Sub.Soil.Mix;Subsurface.Soils.Mixing
Sub.Soil.Store;Subsurface.Soils.Soil water storage
Sub.Soil.Store.Layer;Subsurface.Soils.Soil water storage.Soil stratification
Sub.Soil.Store.Organ;Subsurface.Soils.Soil water storage.Organic Layer
Sub.Soil.Store.Satur;Subsurface.Soils.Soil water storage.Soil saturation
