Model;Nb_parameter
m_01_collie1_1p_1s;1
m_02_wetland_4p_1s;4
m_03_collie2_4p_1s;4
m_04_newzealand1_6p_1s;6
m_05_ihacres_7p_1s;7
m_06_alpine1_4p_2s;4
m_07_gr4j_4p_2s;4
m_08_us1_5p_2s;5
m_09_susannah1_6p_2s;6
m_10_susannah2_6p_2s;6
m_11_collie3_6p_2s;6
m_12_alpine2_6p_2s;6
m_13_hillslope_7p_2s;7
m_14_topmodel_7p_2s;7
m_15_plateau_8p_2s;8
m_16_newzealand2_8p_2s;8
m_17_penman_4p_3s;4
m_18_simhyd_7p_3s;7
m_19_australia_8p_3s;8
m_20_gsfb_8p_3s;8
m_21_flexb_9p_3s;9
m_22_vic_10p_3s;10
m_23_lascam_24p_3s;24
m_24_mopex1_5p_4s;5
m_25_tcm_6p_4s;6
m_26_flexi_10p_4s;10
m_27_tank_12p_4s;12
m_28_xinanjiang_12p_4s;12
m_29_hymod_5p_5s;5
m_30_mopex2_7p_5s;7
m_31_mopex3_8p_5s;8
m_32_mopex4_10p_5s;10
m_33_sacramento_11p_5s;13
m_34_flexis_12p_5s;12
m_35_mopex5_12p_5s;12
m_36_modhydrolog_15p_5s;15
m_37_hbv_15p_5s;15
m_38_tank2_16p_5s;16
m_39_mcrm_16p_5s;16
m_40_smar_8p_6s;8
m_41_nam_10p_6s;10
m_42_hycymodel_12p_6s;12
m_43_gsmsocont_12p_6s;12
m_44_echo_16p_6s;16
m_45_prms_18p_7s;18
m_46_classic_12p_8s;12
